id,parren,type,,
117,21,oras,Santorini,"<strong>Insula Santorini</strong>, aflata in sudul Marii Egee la 120 de mile marine de Creta, atrage turistii mai ales datorita faimei potrivit careia in aceasta regiune s-a gasit legendara Atlantida. Aici se afla un sat-castel, Pyrgos, celebru pentru ca are mai multe biserici (75) decat case. De altfel, se spune ca Santorini este locul in care ""sunt mai multe biserici decat case, mai mult vin decat apa, mai multi magari decat barbati"". <br />

Numele Santorini este unul recent, si vine de la biserica de pe insula, inchinata Sfintei Irene, numita Aghia Irini de greci si Santa Rini de marinarii straini. <br />

Monument de arhitectura si geologie, insula este pentru multi emblema vizuala a Greciei. Un spatiu care s-a nascut prin disparitia unei civilizatii. <br />
Stancile ""povestesc"" despre cea mai mare catastrofa naturala ce a scuturat Mediterana, dar care a creat doua plaje faimoase in lume, Plaja Rosie si Plaja Neagra, si un decor fabulos pentru asfintitul soarelui. <br />
<br />
Santorini este formata dintr-un grup de 5 insule mai mici ce au aparut in urma eruptiei devastatoare de acum 3600 de ani a vulcanului cu acelasi nume, eruptie care a avut ca efect scufundarea in mare a partii centrale a insulei si aparitia actualei Caldera - o laguna ce masoara aproximativ 12 km pe 7 si adanca de vreo 400 m. <br />
O data ce ai pus piciorul pe pamant, privirea iti este atrasa de peretii de roci vulcanice de diverse nuante, parca pictate (de la alb-gri la rosu, maro, negru), perfect asortate cu albastrul pur al marii Egee. Casele de un alb orbitor, cu acoperisuri rotunjite, par chilii sapate in lava pietrificata. Intre acestea, stradutele mici si inguste duc spre magazine si taverne cu priveliste catre mare. Dar ca sa te convingi, trebuie sa le vezi. <br /> <br />
<strong>Viata de noapte in Santorini</strong><br />
In Fira si pe plajele Perissa si Kamari: ENIGMA Night Club; KOO NIGHT CLUB - Fira; DOM NIGHT CLUB - Kamari<br />
<br />
<strong>Sporturi marine</strong><br />
Wave water Sports Club, situat pe plaja Perivolos, langa ""Chili"" Bar. <br />
Jet Watersports: jet ski, water ski, wind surf, pe plaja Kamari. <br />
<br />
<strong>Cumparaturi in Santorini</strong><br />
Bijuterii- THOMAS JEWELLERY; Linderi Gold Jewerly; suveniruri traditionale - Fira; bauturi: Canava Antonis Argiros - Exo Gonia. <br />
<br />
<strong>Vinurile locale</strong>
Boutari (Megalochori); Antoniou (Megalochori)<br />
Canava Roussos (Mesa Gonia); Sigalas (Ia); Koutsoyannopoulos (Messaria); Santo Wines (Pyrgos). <br />
<br />
<strong>IMEROVIGLI</strong><br />

-Peisaje deosebite<br />
Imerovigli este zona cea mai inalta din Santorini si astfel beneficiaza de peisaje spectaculoase. Fira se afla la 2 km departare, o scurta distanta parcursa cu autobuzul sau taxiul, unde poti gasi baruri, taverne, restaurante si discoteci. <br />

<br />
<strong>PERIVOLOS</strong><br />

-Albastrul marii<br />
-Plaje linistite<br />
Plajele pitoresti din Perivolos sunt localizate in apropiere de Perissa, la aproximativ 3 km departare. Plaja este cunoscuta pentru albastrul stralucitor al marii si pentru ca este una dintre cele mai linistite zone de plaja din Santorini. In Perivolos se poate ajunge foarte usor din Perissa cu autobuzul. Turistii dornici de sport pot parcurge aceasta distantta pe jos si se pot bucura de peisaje foarte frumoase. <br />
<br />
<strong>KAMARI</strong><br />
-Relaxare<br />
-Plina de viata <br />
Kamari este adapostit in spatele vulcanului. Mesa Vouno este localizat la 10 minute de aeroport, in partea de sud est a insulei. Un sat traditional care s-a transformat intr-una dintre cele mai renumite statiuni ale insulei. Aici puteti gasi baruri, restaurante, taverne grecesti, cluburi si magazine, toate menite sa faca din Kamari locul ideal pentru petrecerea vacantelor dumneavoastra. Statiunea ofera multiple posibilitati pentru practicarea sporturilor de apa. <br /><br />
<strong>OIA</strong><br />
-Relaxare<br />
-Apusuri de soare spectaculoase<br />
Statiunea Oia se desfasoara in extremitatea Nordica a insulei intr-o zona stancoasa. Este al doilea mare oras al insulei. Gazduieste cele mai spectaculoase peisaje din Santorini, iar renumitele apusuri de soare merita sa fie vazute chiar daca in sezon statiunea este mult prea aglomerata. Majoritatea cladirilor sunt construite din roca vulcanica si este foarte usor sa te pierzi printre stradutele inguste ale acestei statiuni. Linistea desavarsita, culorile pastelate, casele care stau suspendate pe stanci, fac din Oia un loc perfect pentru relaxare. <br /><br />
<strong>FIRA</strong><br />
-Peisaje spectaculoase <br />
-Romantic<br />
Fira este situata in varful unei zone stancoase la 260 m inaltime si ofera o panorama deosebita asupra vulcanului din zona. Orasul este presarat cu stradute inguste. Cladirile sunt pictate in alb cu acoperisuri albastre si terase scaldate in lumina soarelui. Plateia Theotokopoulou este principala piata din Fira unde se intalnesc localnicii. Stradutele mici sunt aglomerate in sezon si pline cu tot felul de magazine, cafenele, restaurante, baruri si cluburi. <br />
<br />
<strong>Util si practic</strong><br />
<br />
Fira, capitala insulei, te asteapta cu multe baruri, magazine, cafenele si taverne, unele oferind o priveliste spectaculoasa catre Caldera. Pe strazile pietruite ale orasului intalnim o combinatie perfecta intre vechi si nou. <br />
Oia gazduieste cele mai frumoase privelisti din Santorini: apusuri spectaculoase, cladiri albe cu acoperisuri albastre. Acesta este cel mai pitoresc sat al Greciei, asa ca asigura-te ca nu vei uita camera foto acasa. <br />
Pyrgos, satul situat la cea mai mare inaltime, isi pastreaza trasaturile medievale. <br />
Va recomandam drumetiile, sa explorati insula la pas, nu veti regreta. De asemenea puteti inchiria si biciclete. <br />
<br />
<strong>Clima</strong><br />
Insula se bucura de un climat de tip mediteranean, cu veri insorite si uscate si cu ierni blande si ploioase. In perioada estivala, temperaturile sunt intre 17 grC si 29 grC."
118,21,oras,Zakynthos,"<strong>Insula Zakynthos</strong> este vestita pentru frumusetea plajelor sale largi si nisipoase (din Vassilikos, Laganas, Kalamaki, Tsilivi si Alykes) si pentru broastele testoase Caretta - Caretta, specie protejata de lege. Vegetatia insulei este bogata si verde cu plantatii de maslini, citrice si paduri de pini. Plajele sunt rasfirate pe coasta de nord, sud si est, dar cele mai frumoase si mai intinse se afla in sud, unde s-a dezvoltat un puternic centru turistic. <br /> Plaja cu epava unui vapor (Navagio) este o imagine reprezentativa a insulei in toata lumea si unul din punctele turistice cele mai vizitate. Desi initial se chema Agios Georgios, aceasta plaja a fost redenumita (Navagio) dupa naufragiul din 1983 a unui vas ce transporta tigari de contrabanda. Apele marii au impins epava pe tarm, iar nisipul a acoperit-o pana la jumatate. Este una din cele mai celebre si fotografiate plaje din lumea intrega fiind inclusa pe buna dreptate in topul primelor 10.<br /><br /> <strong>Capitala insulei</strong> are acelasi nume, este situata pe coasta de est, intr-un golf, si este centrul comercial si principalul port al insulei. Orasul cunoscut in trecut ca ""Venetia Sudului"" a fost reconstruit dupa ce cutremurul din 1953 si incendiul care i-a urmat a distrus orasul vechi cu conacele si cladirile sale elegante, orasul cel nou incercand sa pastreze pe cat posibil stilul venetian si bizantin al orasului vechi. <br />
<br /> Statiunea <strong>Laganas</strong>, cea mai mare si mai aglomerata statiune de pe insula a aparut pentru a satisface afluxul mare de turisti in zona. Marea este aici marginita de o plaja cu nisip foarte fin, lunga de 9 km, cea mai mare de pe insula si una din cele mai mari din Grecia. Principala atractie sunt broastele testoase Caretta-Caretta, specie pe cale de disparitie, protejata de lege. Statiunea ofera multe restaurante, taverne, cafenele, cluburi, magazine de suveniruri, centre de inchiriat masini si biciclete si conditii ideale pentru sporturi nautice. <br />
<br />
Statiunile, aflate in apropierea capitalei (la maxim 20 km distanta) ofera o vacanta placuta in ritmul ales de dumneavoastra: plaja si baie, shopping, mari magazine si buticuri cu suveniruri, sporturi maritime, viata de noapte, excursii pentru descoperirea frumusetii salbatice a insulei, reculegere in biserici sau pur si simplu odihna pe malul marii. <br /><br /> Statiunea <strong>Tsilivi </strong>este una din cele mai importante statiuni de pe insula, situata la 4 km de capitala Zakynthos. Este inconjurata de livezi de maslini, vii si gradini cu pomi fructiferi, iar plaja cu nisip fin, lunga de 4 km detine distinctia ""Steagul Albastru"". Pe plaja puteti gasi umbrelute, sezlonguri si taverne, iar in statiune puteti savura specialitati culinare locale si internationale in restaurante excelente, taverne si va puteti bucura de viata de noapte in cluburi, pub-uri si discoteci. <br />Wind-surfingul, skiul nautic, plimbarile cu barca sau para-sailingul sunt doar cateva dintre distractiile pe care le puteti gasi aici. <br /><br /> Statiunea <strong>Alykanas </strong>este asezata in pitorescul Golf Alykes, unita de o imensa plaja cu nisip fin si intrare lina in apa, considerata una dintre cele mai bune plaje din Zakynthos. <br /><br /> Statiunea <strong>Argassi </strong>este una dintre cele mai populare statiuni recunoscuta pentru viata de noapte de aici si pentru apropierea de una dintre cele mai bune plaje din Zakynthos unde se pot practica majoritatea sporturilor acvatice. Localizarea acesteia este una deosebita, la poalele Muntelui Skopos. Aceasta s-a dezvoltat foarte mult in ultimii ani datorita proximitatii fata de capitala insulei - Zante Town. <br /><br />

<strong>Util si practic</strong><br /><br />

Insula este recunoscuta pentru productia de masline, ulei de masline si vinuri. Alte produse locale pe care le puteti achizitiona sunt apa de colonie din iasomie (floarea cea mai raspandita de pe insula), obiecte din piele si bijuterii. Specialitatile culinare locale pe care le puteti savura sunt lodotiri - branza, pui umplut sau iepure umplut, tocana de ceapa, skordostoumbi melitzana - tocana de vinete in sos de ceapa, ostropel de vita si tsilipourlo o mancare de Paste din maruntaie de ied sau miel, mandolato aEuronuga sau pasteli - seminte de susan caramelizate cu miere. <br /><br />

<strong>Clima</strong><br />
Insula se bucura de un climat de tip mediteranean, cu veri insorite si uscate, in perioada estivala, temperaturile medii fiind cuprinse intre 22 grC si 32 grC."
119,21,oras,Paralia - Katerini,
120,47,oras,Bali,
121,45,oras,Ocho Rios,
122,46,oras,Male,
123,48,oras,Larnaca,
124,24,oras,Mallorca,
125,24,oras,Costa Brava &amp; Maresme,
126,24,oras,Gran Canaria,"Gran Canaria face parte din Insulele Canare si este una dintre cele mai frumoase insule, fiind una dintre putinele destinatii europene unde se poate face plaja tot timpul anului. Insula Gran Canaria este asezata in Oceanul Atlantic, la 210 km de continentul african si la 1250 km de coasta Spaniei. Gran Canaria are temperaturi constante cuprinse intre 22-30 grC, cele mai mici temperaturi fiind de 19 grC. <br />
Cele mai cautate statiuni sunt Las Palmas, San Augustin, Playa del Ingles si Maspalomas. <br /> Cel mai inalt varf de pe insula este Pozo de la Nieves (1949 m). Las Palmas este capitala insulei si are cateva atractii turistice: Museo Canario, Casa de Colon, casa unde a stat Cristofor Columb inainte sa porneasca spre Lumea Noua, catedrala din Plaza de Santa Ana, parcuri pline de palmieri. Vegetatia insulei te surprinde la fiecare pas: mango, papaya, palmieri, muscate, cactusi. <br />

Gran Canaria este locul unde puteti sa va petreceti o vacanta minunata!"
127,48,oras,Protaras,
128,48,oras,Limassol,
129,48,oras,Paphos,
130,48,oras,Ayia Napa,
131,43,oras,Madeira,"Madeira (insemnand padure in limba portugheza) este un grup de insule portugheze din nordul oceanului Atlantic. Constand din doua insule locuite (Madeira si Porto Santo) si trei insule nelocuite, formeaza impreuna cu Ilhas Selvagens (Insulele Salbatice) Regiunea Autonoma Madeira. Arhipeleagul este situat la aproximativ 580 km de coasta africana si la 860 km de Lisabona, capitala Portugaliei. <br />
Madeira constitutuie o regiune ultraperiferica a Uniunii Europene. Cristofor Columb a locuit pe insula Porto Santo timp de 12 ani, inainte de a pleca in calatoriile sale istorice peste ocean. Amplasarea geografica si relieful muntos determina un climat bland, cu temperaturi medii situate intre 22 grC vara si 16 grC iarna. Clima subtropicala este favorabila culturilor de vita de vie (cu renumitul vin de Madeira), trestie de zahar, bananieri, portocali, lamai. Padurea de lauri ""Laurisilva"" de pe insula Madeira a fost inscrisa in anul 1999 pe lista patrimoniului cultural mondial UNESCO."
132,14,oras,Nisa,
133,14,oras,Cannes,
134,49,oras,Monte Carlo,
144,20,oras,Sozopol,
150,50,oras,Dubrovnik,"Dubrovnik este un port si una dintre cele mai importante statiuni turistice de la Marea Adriatica, in sudul Croatiei. Dubrovnik face parte din locurile incluse in Patrimoniul Mondial UNESCO din anul 1979."
151,50,oras,Mlini,"Mlini este o statiune balneara din sudul Croatiei, situata la 12 km sud de Dubrovnik si 22 km de Cavtat."
152,50,oras,Cavtat,"Cavtat este o statiune situata in sudul Croatiei, pe malul Marii Adriatice, la o distanta de 20 km sud de Dubrovnik. Cavtat este renumit pentru peisajul pitoresc si plin de vegetatie al locurilor cat si pentru arhitectura medievala a orasului."
153,19,oras,Constanta,
154,51,oras,Mexico City,
155,42,oras,Bavaro,
156,24,oras,Ibiza,"Fenicienii au infiintat acum 2600 de ani orasul Ibiza. De atunci, cei 572 km 2 ai insulei au absorbit infulentele culturale ale cartaginezilor, romanilor, bizantinilor, arabilor si crestinilor. <br /><br />
Cateva dintre cele mai cunoscute statiuni turistice se afla in imediata apropiere a orasului Ibiza: <br />Playa d`en Bossa are o plaja lunga de 3 km cu nisip fin; aici se afla parcul acvatic Aguamar, precum si discotecile Space si Bora Bora. <br />Figueretes are o plaja mai mica si poate fi considerata o extensie a orasului Ibiza. <br />Talamanca este situata in nordul orasului Ibiza si are o plaja lunga de aproape 1 km situata in jurul unui golf natural. <br />Santa Eularia este un alt centru turistic important si al doilea oras ca marime dupa Ibiza; o foarte frumoasa promenada se intinde de-a lungul portului si pe malul marii. <br />In vestul insulei, cu un golf superb numit de romani Portus Magnus, se afla statiunea Sant Antoni care a devenit unul dintre cele mai mari si mai animate centre turistice de pe insula. Sant Antoni este locul perfect pentru a urmari cele mai frumoase apusuri de soare si in acelasi timp locul ideal pentru practicarea sporturilor nautice."
157,24,oras,Tenerife,
158,35,oras,Helsinki,
159,21,oras,Lefkada,
160,24,oras,Costa Dorada,
161,3,oras,Safaga,
162,34,oras,Bethleem,
163,34,oras,Tiberias,
164,22,oras,Salzburg,
165,22,oras,Zillertal,
166,22,oras,Funchal,
167,66,oras,Bruges,
168,22,oras,Graz,
169,22,oras,Innsbruck,
170,22,oras,Klagenfurt,
172,66,oras,Gent,
173,66,oras,Charleroi,
174,66,oras,Liege,
175,27,oras,Karlovy Vary,
176,27,oras,Brno,
177,64,oras,Shanghai,
178,64,oras,Hong Kong,
179,64,oras,Xian,
180,50,oras,Split,
181,50,oras,Rijeka,
182,50,oras,Zagreb,
183,50,oras,Pula,
184,41,oras,Abu Dhabi,
185,3,oras,Cairo,
186,3,oras,Luxor,
187,3,oras,Aswan,
188,3,oras,Abu Simbel,
189,35,oras,Rovaniemi,
190,14,oras,Bordeaux,
191,14,oras,Lyon,
192,14,oras,Marsilia,
193,14,oras,Dijon,
194,17,oras,Munich,
195,21,oras,Stuttgart,
196,17,oras,Koln,
197,17,oras,Bonn,
198,17,oras,Nurnberg,
199,17,oras,Hamburg,
200,17,oras,Dresda,
201,17,oras,Hanovra,
202,21,oras,Thasos,
203,21,oras,Atena,
204,21,oras,Mikonos,
205,21,oras,Lesbos,
206,47,oras,Jakarta,
207,34,oras,Nazaret,
208,34,oras,Ierusalim,
209,34,oras,Eilat,
210,34,oras,Haifa,
211,16,oras,Torino,
212,16,oras,Milano,
213,16,oras,Verona,
214,16,oras,Florenta,
215,16,oras,Venetia,
216,16,oras,Bologna,
217,16,oras,Genova,
218,16,oras,Pisa,
219,16,oras,Livorno,
220,16,oras,Bari,
221,16,oras,Salerno,
222,16,oras,Napoli,
223,16,oras,Mesina,
224,16,oras,Palermo,
225,16,oras,Cagliari,
226,16,oras,Taormina,
227,45,oras,Kingston,
228,45,oras,Montego Bay,
229,45,oras,Portmore,
230,45,oras,Rio Bueno,
231,65,oras,Kyoto,
232,65,oras,Osaka,
233,65,oras,Yokohama,
234,28,oras,Manchester,
235,28,oras,Leeds,
236,28,oras,Liverpool,
237,28,oras,Sheffield,
238,28,oras,Edinburgh,
239,28,oras,Glasgow,
240,28,oras,Belfast,
241,54,oras,Marakkes,
242,54,oras,Fez,
243,54,oras,Casablanca,
244,51,oras,Guadalajara,
245,51,oras,Veracruz,
246,51,oras,Cancun,
247,76,oras,Bergen,
248,108,oras,Cracovia,
249,108,oras,Katovice,
250,108,oras,Wroklaw,
251,108,oras,Poznan,
252,108,oras,Gdansk,
253,43,oras,Faro,
254,43,oras,Estoril,
255,43,oras,Porto,
256,43,oras,Coimbra,
257,43,oras,Santiago de Compostella,
258,43,oras,Cascais,
259,57,oras,St Petersburg,
260,24,oras,Madrid,
261,24,oras,Valencia,
262,24,oras,Granada,
263,24,oras,Malaga,
264,24,oras,Sevilia,
265,24,oras,Zaragoza,
266,97,oras,Dakar,
267,74,oras,Belgrad,
268,98,oras,Mahe,
269,56,oras,Bratislava,
270,56,oras,Kosice,
271,56,oras,Brezno,
272,73,oras,Liubliana,
273,44,oras,Colombo,
274,44,oras,Matara,
275,53,oras,Oslo,
276,63,oras,Phuket,
277,63,oras,Pattaya,
278,63,oras,Bangkok,
279,63,oras,Krabi,
280,101,oras,Taipei,
281,96,oras,Dar es Salaam,
282,96,oras,Zanzibar,
283,96,oras,Dodoma,
284,104,oras,Hobart,
285,2,oras,Tunis,
286,58,oras,Kiev,
287,58,oras,Odessa,
288,59,oras,Budapesta,
289,88,oras,Montevideo,
290,81,oras,Caracas,
291,80,oras,Ho Chi Min,
292,80,oras,Hanoi,
293,62,oras,Buenos Aires,
294,62,oras,Bahia Bianca,
295,62,oras,Mar del Plata,
296,100,oras,Canberra,
297,100,oras,Sydney,
298,100,oras,Melbourne,
299,100,oras,Brisbane,
300,100,oras,Perth,
301,90,oras,Belmopan,
302,90,oras,Belize City,
303,90,oras,Punta Gorda,
304,90,oras,Dangriga,
305,85,oras,La Paz,
306,85,oras,Salar de Uyuni,
307,85,oras,Colchani,
308,85,oras,Potosi,
309,85,oras,Sucre,
310,61,oras,Brasilia,
311,61,oras,Rio de Janeiro,
312,61,oras,Sao Paolo,
313,61,oras,Manaus,
314,106,oras,Ottawa,
315,106,oras,Montreal,
316,106,oras,Toronto,
317,106,oras,Vancouver,
318,84,oras,Santiago de Chile,
319,84,oras,Punta Arenas,
320,86,oras,Bogota,
321,86,oras,Cartagena,
322,93,oras,San Jose,
323,93,oras,Puntarenas,
324,93,oras,Poas,
325,93,oras,Tortuguero,
326,60,oras,Havana,
327,60,oras,Varadero,
328,82,oras,Quito,
329,69,oras,Talin,
330,105,oras,Suva,
331,77,oras,Manila,
332,77,oras,Boracay,
333,89,oras,Guatemala City,
334,89,oras,Antigua,
335,102,oras,Honolulu,
336,91,oras,Tegucigalpa,
337,79,oras,Amman,
338,79,oras,Aqaba,
339,79,oras,Petra,
340,70,oras,Dublin,
341,75,oras,Reykjavik,
342,95,oras,Nairobi,
343,68,oras,Riga,
344,67,oras,Vilnius,
345,99,oras,Antananarivo,
346,92,oras,Managua,
347,103,oras,Wellington,
348,103,oras,Auckland,
349,71,oras,Amsterdam,
350,71,oras,Haga,
351,71,oras,Eindhoven,
352,87,oras,Asuncion,
353,83,oras,Lima,
354,22,oras,Strobl am Wolfgangsee,
355,22,oras,Abtenau,
356,22,oras,Golling,
357,22,oras,Bad Goisern,
358,22,oras,Bischofshofen,
359,22,oras,Neustift/Ghetarul Stubai,
360,22,oras,Mattrei in Osttirol,
361,22,oras,Pians/Ischgl,
362,22,oras,Ischgl,
363,22,oras,Kappl/Ischgl,
364,22,oras,Landeck/Ischgl,
365,22,oras,Finkenberg/Ghetarul Hintertux,
366,22,oras,Gerlos,
368,1,oras,Didim,
369,0,oras,Ozdere,
370,1,oras,Ozdere,
371,20,oras,Sarafovo,
372,20,oras,Kranevo,
373,20,oras,Riviera,
374,20,oras,St. Vlas,
375,20,oras,Ravda,
376,20,oras,Aheloy,
377,20,oras,Kavarne Area,
378,20,oras,Topola Skies,
379,20,oras,Byala,
